hour_instant,dteday,hr,holiday,workingday,weathersit,temp,hum,windspeed,hour_count,instant_y,season,weekday,day_count,is_weekend,hour_to_day_ratio,time_category,temp_category
1,2011-01-01,0,0,0,1,0.24,0.81,0.0,16,1,1,6,985,Weekend,0.016243654822335026,Off-Peak Hours,Low
2,2011-01-01,1,0,0,1,0.22,0.8,0.0,40,1,1,6,985,Weekend,0.04060913705583756,Off-Peak Hours,Low
3,2011-01-01,2,0,0,1,0.22,0.8,0.0,32,1,1,6,985,Weekend,0.03248730964467005,Off-Peak Hours,Low
4,2011-01-01,3,0,0,1,0.24,0.75,0.0,13,1,1,6,985,Weekend,0.013197969543147208,Off-Peak Hours,Low
5,2011-01-01,4,0,0,1,0.24,0.75,0.0,1,1,1,6,985,Weekend,0.0010152284263959391,Off-Peak Hours,Low
6,2011-01-01,5,0,0,2,0.24,0.75,0.0896,1,1,1,6,985,Weekend,0.0010152284263959391,Off-Peak Hours,Low
7,2011-01-01,6,0,0,1,0.22,0.8,0.0,2,1,1,6,985,Weekend,0.0020304568527918783,Off-Peak Hours,Low
8,2011-01-01,7,0,0,1,0.2,0.86,0.0,3,1,1,6,985,Weekend,0.003045685279187817,Peak Hours,Low
9,2011-01-01,8,0,0,1,0.24,0.75,0.0,8,1,1,6,985,Weekend,0.008121827411167513,Peak Hours,Low
10,2011-01-01,9,0,0,1,0.32,0.76,0.0,14,1,1,6,985,Weekend,0.014213197969543147,Peak Hours,Low
11,2011-01-01,10,0,0,1,0.38,0.76,0.2537,36,1,1,6,985,Weekend,0.03654822335025381,Off-Peak Hours,Medium
12,2011-01-01,11,0,0,1,0.36,0.81,0.2836,56,1,1,6,985,Weekend,0.05685279187817259,Off-Peak Hours,Medium
13,2011-01-01,12,0,0,1,0.42,0.77,0.2836,84,1,1,6,985,Weekend,0.08527918781725888,Off-Peak Hours,Medium
14,2011-01-01,13,0,0,2,0.46,0.72,0.2985,94,1,1,6,985,Weekend,0.09543147208121827,Off-Peak Hours,Medium
15,2011-01-01,14,0,0,2,0.46,0.72,0.2836,106,1,1,6,985,Weekend,0.10761421319796954,Off-Peak Hours,Medium
16,2011-01-01,15,0,0,2,0.44,0.77,0.2985,110,1,1,6,985,Weekend,0.1116751269035533,Off-Peak Hours,Medium
